city,city_ascii,province_id,province_name,country
"Salmo","Salmo","","British Columbia","Canada"
"Salmon Arm","Salmon Arm","","British Columbia","Canada"
"Saltair","Saltair","","British Columbia","Canada"
"Sechelt","Sechelt","","British Columbia","Canada"
"Sicamous","Sicamous","","British Columbia","Canada"
"Sidney","Sidney","","British Columbia","Canada"
"Smithers","Smithers","","British Columbia","Canada"
"Sooke","Sooke","","British Columbia","Canada"
"Sorrento","Sorrento","","British Columbia","Canada"
"Spallumcheen","Spallumcheen","","British Columbia","Canada"
"Sparwood","Sparwood","","British Columbia","Canada"
"Squamish","Squamish","","British Columbia","Canada"
"Summerland","Summerland","","British Columbia","Canada"
"Surrey","Surrey","","British Columbia","Canada"
"Taylor","Taylor","","British Columbia","Canada"
"Telkwa","Telkwa","","British Columbia","Canada"
"Terrace","Terrace","","British Columbia","Canada"
"Tofino","Tofino","","British Columbia","Canada"
"Trail","Trail","","British Columbia","Canada"
"Tumbler Ridge","Tumbler Ridge","","British Columbia","Canada"
"Ucluelet","Ucluelet","","British Columbia","Canada"
"Valemount","Valemount","","British Columbia","Canada"
"Vancouver","Vancouver","","British Columbia","Canada"
"Vanderhoof","Vanderhoof","","British Columbia","Canada"
"Vernon","Vernon","","British Columbia","Canada"
"Victoria","Victoria","","British Columbia","Canada"
"View Royal","View Royal","","British Columbia","Canada"
"Warfield","Warfield","","British Columbia","Canada"
"West Vancouver","West Vancouver","","British Columbia","Canada"
"Westbank","Westbank","","British Columbia","Canada"
"Whistler","Whistler","","British Columbia","Canada"
"White Rock","White Rock","","British Columbia","Canada"
"WHONNOCK","WHONNOCK","","British Columbia","Canada"
"Williams Lake","Williams Lake","","British Columbia","Canada"
"Windermere","Windermere","","British Columbia","Canada"
"Youbou","Youbou","","British Columbia","Canada"
"Alonsa","Alonsa","","Manitoba","Canada"
"Altona","Altona","","Manitoba","Canada"
"Arborg","Arborg","","Manitoba","Canada"
"Argyle","Argyle","","Manitoba","Canada"
"Armstrong","Armstrong","","Manitoba","Canada"
"BARROWS","BARROWS","","Manitoba","Canada"
"Beausejour","Beausejour","","Manitoba","Canada"
"Bifrost-Riverton","Bifrost-Riverton","","Manitoba","Canada"
"Blumenort","Blumenort","","Manitoba","Canada"
"Boissevain","Boissevain","","Manitoba","Canada"
"Brandon","Brandon","","Manitoba","Canada"
"Brenda-Waskada","Brenda-Waskada","","Manitoba","Canada"
"Brokenhead","Brokenhead","","Manitoba","Canada"
"Carberry","Carberry","","Manitoba","Canada"
"Carman","Carman","","Manitoba","Canada"
"Cartier","Cartier","","Manitoba","Canada"
"Cartwright-Roblin","Cartwright-Roblin","","Manitoba","Canada"
"Clanwilliam-Erickson","Clanwilliam-Erickson","","Manitoba","Canada"
"Coldwell","Coldwell","","Manitoba","Canada"
"Cornwallis","Cornwallis","","Manitoba","Canada"
"Dauphin","Dauphin","","Manitoba","Canada"
"De Salaberry","De Salaberry","","Manitoba","Canada"
"Deloraine-Winchester","Deloraine-Winchester","","Manitoba","Canada"
"Dufferin","Dufferin","","Manitoba","Canada"
"East St. Paul","East St. Paul","","Manitoba","Canada"
"ELKHORN","ELKHORN","","Manitoba","Canada"
"Ellice-Archie","Ellice-Archie","","Manitoba","Canada"
"Elton","Elton","","Manitoba","Canada"
"Emerson-Franklin","Emerson-Franklin","","Manitoba","Canada"
"Ethelbert","Ethelbert","","Manitoba","Canada"
"Fisher","Fisher","","Manitoba","Canada"
"FLIN FLON","FLIN FLON","","Manitoba","Canada"
"Flin Flon (Part)","Flin Flon (Part)","","Manitoba","Canada"
"Gilbert Plains","Gilbert Plains","","Manitoba","Canada"
"Gillam","Gillam","","Manitoba","Canada"
"Gimli","Gimli","","Manitoba","Canada"
"Glenboro-South Cypress","Glenboro-South Cypress","","Manitoba","Canada"
"Glenella-Lansdowne","Glenella-Lansdowne","","Manitoba","Canada"
"Grahamdale","Grahamdale","","Manitoba","Canada"
"Grand View","Grand View","","Manitoba","Canada"
"Grassland","Grassland","","Manitoba","Canada"
"Grey","Grey","","Manitoba","Canada"
"Grunthal","Grunthal","","Manitoba","Canada"
"Hamiota","Hamiota","","Manitoba","Canada"
"Hanover","Hanover","","Manitoba","Canada"
"Harrison Park","Harrison Park","","Manitoba","Canada"
"Headingley","Headingley","","Manitoba","Canada"
"Hillsburg-Roblin-Shell River","Hillsburg-Roblin-Shell River","","Manitoba","Canada"
"Kelsey","Kelsey","","Manitoba","Canada"
"Killarney - Turtle Mountain","Killarney - Turtle Mountain","","Manitoba","Canada"
"La Broquerie","La Broquerie","","Manitoba","Canada"
"Lac du Bonnet","Lac du Bonnet","","Manitoba","Canada"
"LAC-BROCHET","LAC-BROCHET","","Manitoba","Canada"
"Lakeshore","Lakeshore","","Manitoba","Canada"
"Landmark","Landmark","","Manitoba","Canada"
"Lorette","Lorette","","Manitoba","Canada"
"Lorne","Lorne","","Manitoba","Canada"
"Louise","Louise","","Manitoba","Canada"
"LYNN LAKE","LYNN LAKE","","Manitoba","Canada"
"Macdonald","Macdonald","","Manitoba","Canada"
"McCreary","McCreary","","Manitoba","Canada"
"Melita","Melita","","Manitoba","Canada"
"Minitonas-Bowsman","Minitonas-Bowsman","","Manitoba","Canada"
"Minnedosa","Minnedosa","","Manitoba","Canada"
"Minto-Odanah","Minto-Odanah","","Manitoba","Canada"
"Mitchell","Mitchell","","Manitoba","Canada"
"MONCTON","MONCTON","","Manitoba","Canada"
"Montcalm","Montcalm","","Manitoba","Canada"
"Morden","Morden","","Manitoba","Canada"
"Morris","Morris","","Manitoba","Canada"
"Mossey River","Mossey River","","Manitoba","Canada"
"Neepawa","Neepawa","","Manitoba","Canada"
"Niverville","Niverville","","Manitoba","Canada"
"Norfolk-Treherne","Norfolk-Treherne","","Manitoba","Canada"
"North Cypress-Langford","North Cypress-Langford","","Manitoba","Canada"
"North Norfolk","North Norfolk","","Manitoba","Canada"
"Oakland-Wawanesa","Oakland-Wawanesa","","Manitoba","Canada"
"Oakview","Oakview","","Manitoba","Canada"
"Pembina","Pembina","","Manitoba","Canada"
"Pinawa","Pinawa","","Manitoba","Canada"
"Piney","Piney","","Manitoba","Canada"
"Pipestone","Pipestone","","Manitoba","Canada"
"Portage La Prairie","Portage La Prairie","","Manitoba","Canada"
"Powerview-Pine Falls","Powerview-Pine Falls","","Manitoba","Canada"
"Prairie Lakes","Prairie Lakes","","Manitoba","Canada"
"Prairie View","Prairie View","","Manitoba","Canada"
"Reinland","Reinland","","Manitoba","Canada"
"Reynolds","Reynolds","","Manitoba","Canada"
"Riding Mountain West","Riding Mountain West","","Manitoba","Canada"
"Ritchot","Ritchot","","Manitoba","Canada"
"Riverdale","Riverdale","","Manitoba","Canada"
"ROBLIN","ROBLIN","","Manitoba","Canada"
"Rockwood","Rockwood","","Manitoba","Canada"
"Roland","Roland","","Manitoba","Canada"
"Rosedale","Rosedale","","Manitoba","Canada"
"Rossburn","Rossburn","","Manitoba","Canada"
"Rosser","Rosser","","Manitoba","Canada"
"Russell-Binscarth","Russell-Binscarth","","Manitoba","Canada"
"Selkirk","Selkirk","","Manitoba","Canada"
"Sifton","Sifton","","Manitoba","Canada"
"Souris-Glenwood","Souris-Glenwood","","Manitoba","Canada"
"Splitlake","Splitlake","","Manitoba","Canada"
"Springfield","Springfield","","Manitoba","Canada"
"ST PAULS","ST PAULS","","Manitoba","Canada"
"St-Pierre-Jolys","St-Pierre-Jolys","","Manitoba","Canada"
"St. Andrews","St. Andrews","","Manitoba","Canada"
"St. Clements","St. Clements","","Manitoba","Canada"
"St. Francois Xavier","St. Francois Xavier","","Manitoba","Canada"
"St. Laurent","St. Laurent","","Manitoba","Canada"
"Stanley","Stanley","","Manitoba","Canada"
"Ste. Anne","Ste. Anne","","Manitoba","Canada"
"Ste. Rose","Ste. Rose","","Manitoba","Canada"
"Steinbach","Steinbach","","Manitoba","Canada"
"Stonewall","Stonewall","","Manitoba","Canada"
"Stuartburn","Stuartburn","","Manitoba","Canada"
"Swan River","Swan River","","Manitoba","Canada"
"Swan Valley West","Swan Valley West","","Manitoba","Canada"
"Tache","Tache","","Manitoba","Canada"
"Teulon","Teulon","","Manitoba","Canada"
"The Pas","The Pas","","Manitoba","Canada"
"Thompson","Thompson","","Manitoba","Canada"
"Two Borders","Two Borders","","Manitoba","Canada"
"Victoria","Victoria","","Manitoba","Canada"
"Virden","Virden","","Manitoba","Canada"
"Wallace-Woodworth","Wallace-Woodworth","","Manitoba","Canada"
"Wasagamack","Wasagamack","","Manitoba","Canada"
"West Interlake","West Interlake","","Manitoba","Canada"
"West St. Paul","West St. Paul","","Manitoba","Canada"
"WestLake-Gladstone","WestLake-Gladstone","","Manitoba","Canada"
"Whitehead","Whitehead","","Manitoba","Canada"
"Winkler","Winkler","","Manitoba","Canada"
"Winnipeg","Winnipeg","","Manitoba","Canada"
"Winnipeg Beach","Winnipeg Beach","","Manitoba","Canada"
"Woodlands","Woodlands","","Manitoba","Canada"
"Yellowhead","Yellowhead","","Manitoba","Canada"
"Allardville","Allardville","","New Brunswick","Canada"
"Alnwick","Alnwick","","New Brunswick","Canada"
"Atholville","Atholville","","New Brunswick","Canada"
"Balmoral","Balmoral","","New Brunswick","Canada"
"Bas Caraquet","Bas Caraquet","","New Brunswick","Canada"
"Bathurst","Bathurst","","New Brunswick","Canada"
"Beaubassin East / Beaubassin-est","Beaubassin East / Beaubassin-est","","New Brunswick","Canada"
"Belledune","Belledune","","New Brunswick","Canada"
"Beresford","Beresford","","New Brunswick","Canada"
"Bertrand","Bertrand","","New Brunswick","Canada"
"Botsford","Botsford","","New Brunswick","Canada"
"Bright","Bright","","New Brunswick","Canada"
"Brighton","Brighton","","New Brunswick","Canada"
"Buctouche","Buctouche","","New Brunswick","Canada"
"Burton","Burton","","New Brunswick","Canada"
"Campbellton","Campbellton","","New Brunswick","Canada"
"Cap Pele","Cap Pele","","New Brunswick","Canada"
"Caraquet","Caraquet","","New Brunswick","Canada"
"Cardwell","Cardwell","","New Brunswick","Canada"
"Charlo","Charlo","","New Brunswick","Canada"
"Chipman","Chipman","","New Brunswick","Canada"
"Cocagne","Cocagne","","New Brunswick","Canada"
"Coverdale","Coverdale","","New Brunswick","Canada"
"Dalhousie","Dalhousie","","New Brunswick","Canada"
"Denmark","Denmark","","New Brunswick","Canada"
"Dieppe","Dieppe","","New Brunswick","Canada"
"Dorchester","Dorchester","","New Brunswick","Canada"
"Douglas","Douglas","","New Brunswick","Canada"
"Dundas","Dundas","","New Brunswick","Canada"
"Durham","Durham","","New Brunswick","Canada"
"Edmundston","Edmundston","","New Brunswick","Canada"
"Eel River Crossing","Eel River Crossing","","New Brunswick","Canada"
"Florenceville","Florenceville","","New Brunswick","Canada"
"Fredericton","Fredericton","","New Brunswick","Canada"
"Glenelg","Glenelg","","New Brunswick","Canada"
"Gordon","Gordon","","New Brunswick","Canada"
"Grand Bay-Westfield","Grand Bay-Westfield","","New Brunswick","Canada"
"Grand Falls","Grand Falls","","New Brunswick","Canada"
"Grand Manan","Grand Manan","","New Brunswick","Canada"
"Greenwich","Greenwich","","New Brunswick","Canada"
"Hampton","Hampton","","New Brunswick","Canada"
"Hanwell","Hanwell","","New Brunswick","Canada"
"Hardwicke","Hardwicke","","New Brunswick","Canada"
"Havelock","Havelock","","New Brunswick","Canada"
"Hillsborough","Hillsborough","","New Brunswick","Canada"
"Kedgwick","Kedgwick","","New Brunswick","Canada"
"Kent","Kent","","New Brunswick","Canada"
"Kingsclear","Kingsclear","","New Brunswick","Canada"
"Kingston","Kingston","","New Brunswick","Canada"
"Lameque","Lameque","","New Brunswick","Canada"
"Lincoln","Lincoln","","New Brunswick","Canada"
"Manners Sutton","Manners Sutton","","New Brunswick","Canada"
"Maugerville","Maugerville","","New Brunswick","Canada"
"McAdam","McAdam","","New Brunswick","Canada"
"Memramcook","Memramcook","","New Brunswick","Canada"
"Minto","Minto","","New Brunswick","Canada"
"Miramichi","Miramichi","","New Brunswick","Canada"
"Moncton","Moncton","","New Brunswick","Canada"
"Moncton City","Moncton City","","New Brunswick","Canada"
"Musquash","Musquash","","New Brunswick","Canada"
"Nauwigewauk","Nauwigewauk","","New Brunswick","Canada"
"Neguac","Neguac","","New Brunswick","Canada"
"New Bandon","New Bandon","","New Brunswick","Canada"
"New Maryland","New Maryland","","New Brunswick","Canada"
"Newcastle","Newcastle","","New Brunswick","Canada"
"Noonan","Noonan","","New Brunswick","Canada"
"Northampton","Northampton","","New Brunswick","Canada"
"Northesk","Northesk","","New Brunswick","Canada"
"Norton","Norton","","New Brunswick","Canada"
"Oromocto","Oromocto","","New Brunswick","Canada"
"Paquetville","Paquetville","","New Brunswick","Canada"
"Peel","Peel","","New Brunswick","Canada"
"Pennfield Ridge","Pennfield Ridge","","New Brunswick","Canada"
"Perth","Perth","","New Brunswick","Canada"
"Petit Rocher","Petit Rocher","","New Brunswick","Canada"
"Petitcodiac","Petitcodiac","","New Brunswick","Canada"
"Plaster Rock","Plaster Rock","","New Brunswick","Canada"
"Queensbury","Queensbury","","New Brunswick","Canada"
"Quispamsis","Quispamsis","","New Brunswick","Canada"
"Richibucto","Richibucto","","New Brunswick","Canada"
"Richmond","Richmond","","New Brunswick","Canada"
"Riverview","Riverview","","New Brunswick","Canada"
"Rogersville","Rogersville","","New Brunswick","Canada"
"Rothesay","Rothesay","","New Brunswick","Canada"
"Sackville","Sackville","","New Brunswick","Canada"
"Saint Andrews","Saint Andrews","","New Brunswick","Canada"
"Saint David","Saint David","","New Brunswick","Canada"
"Saint George","Saint George","","New Brunswick","Canada"
"Saint James","Saint James","","New Brunswick","Canada"
"Saint John","Saint John","","New Brunswick","Canada"
"Saint Martins","Saint Martins","","New Brunswick","Canada"
"Saint Mary","Saint Mary","","New Brunswick","Canada"
"Saint Marys","Saint Marys","","New Brunswick","Canada"
"Saint Stephen","Saint Stephen","","New Brunswick","Canada"
"Saint-Andre","Saint-Andre","","New Brunswick","Canada"
"Saint-Antoine","Saint-Antoine","","New Brunswick","Canada"
"Saint-Charles","Saint-Charles","","New Brunswick","Canada"
"Saint-Jacques","Saint-Jacques","","New Brunswick","Canada"
"Saint-Joseph","Saint-Joseph","","New Brunswick","Canada"
"Saint-Leonard","Saint-Leonard","","New Brunswick","Canada"
"Saint-Louis","Saint-Louis","","New Brunswick","Canada"
"Saint-Quentin","Saint-Quentin","","New Brunswick","Canada"
"Salisbury","Salisbury","","New Brunswick","Canada"
"Shediac","Shediac","","New Brunswick","Canada"
"Shippagan","Shippagan","","New Brunswick","Canada"
"Shippegan","Shippegan","","New Brunswick","Canada"
"Simonds","Simonds","","New Brunswick","Canada"
"Southampton","Southampton","","New Brunswick","Canada"
"Southesk","Southesk","","New Brunswick","Canada"
"Springfield","Springfield","","New Brunswick","Canada"
"St. George","St. George","","New Brunswick","Canada"
